bait_organism,bait_name,gene_name
SARS-CoV-2,M,GGH
SARS-CoV-2,M,C5
SARS-CoV-2,M,SERPINE2
SARS-CoV-2,M,DRAM2
SARS-CoV-2,M,UNC50
SARS-CoV-2,M,CALU
SARS-CoV-2,M,SPG11
SARS-CoV-2,M,FADS2
SARS-CoV-2,M,MTHFD1L
SARS-CoV-2,M,PIGT
SARS-CoV-2,M,CAV2
SARS-CoV-2,M,EXTL2
SARS-CoV-2,M,UPK1B
SARS-CoV-2,M,ACAT1
SARS-CoV-2,M,FANCI
SARS-CoV-2,M,SLC46A1
SARS-CoV-2,M,SLC22A5
SARS-CoV-2,M,ATP6V0A2
SARS-CoV-2,M,WDFY3
SARS-CoV-2,M,HARS2
SARS-CoV-2,M,ALDH1A2
SARS-CoV-2,M,TTC27
SARS-CoV-2,M,C6orf120
SARS-CoV-2,M,PITRM1
SARS-CoV-2,M,TOR1AIP2
SARS-CoV-2,M,NR5A2
SARS-CoV-2,M,IPO13
SARS-CoV-2,M,ECI1
SARS-CoV-2,M,GPR37
SARS-CoV-2,M,MROH1
SARS-CoV-2,M,SARM1
SARS-CoV-2,M,ARFGEF2
SARS-CoV-2,M,LTN1
SARS-CoV-2,M,PYROXD2
SARS-CoV-2,M,HAX1
SARS-CoV-2,M,PC
SARS-CoV-2,M,DERL3
SARS-CoV-2,M,SDF4
SARS-CoV-2,M,HAUS6
SARS-CoV-2,M,CTSB
SARS-CoV-2,M,PMPCB
SARS-CoV-2,M,ALG6
SARS-CoV-2,M,SLC18B1
SARS-CoV-2,M,MCM3AP
SARS-CoV-2,M,SLC9A1
SARS-CoV-2,M,STARD3NL
SARS-CoV-2,M,NME3
SARS-CoV-2,M,RBFOX3
SARS-CoV-2,M,CDK5RAP3
SARS-CoV-2,M,TYW1
SARS-CoV-2,M,NCAPD3
SARS-CoV-2,M,ACADSB
SARS-CoV-2,M,ELF3
SARS-CoV-2,M,ARFGEF1
SARS-CoV-2,M,PDPR
SARS-CoV-2,M,WDR72
SARS-CoV-2,M,NUBP2
SARS-CoV-2,M,TNFAIP2
SARS-CoV-2,M,GUF1
SARS-CoV-2,M,NARS2
SARS-CoV-2,M,INTS4
SARS-CoV-2,M,NLRX1
SARS-CoV-2,M,MT-CO2
SARS-CoV-2,M,PCCB
SARS-CoV-2,M,PEX6
SARS-CoV-2,M,LMBRD2
SARS-CoV-2,M,INTS12
SARS-CoV-2,M,NDUFS8
SARS-CoV-2,M,DNAJB2
SARS-CoV-2,M,NDUFA10
SARS-CoV-2,M,JAK2
SARS-CoV-2,M,AK4
SARS-CoV-2,M,FANCG
SARS-CoV-2,M,PRKDC
SARS-CoV-2,M,SGCB
SARS-CoV-2,M,GBF1
SARS-CoV-2,M,YIF1B
SARS-CoV-2,M,RTN4
SARS-CoV-2,N,HSPA9
SARS-CoV-2,N,HSPA1A
SARS-CoV-2,N,ANGPT4
SARS-CoV-2,N,G3BP2
SARS-CoV-2,N,SSBP1
SARS-CoV-2,N,G3BP1
SARS-CoV-2,NSP1,ZNF148
SARS-CoV-2,NSP1,PISD
SARS-CoV-2,NSP1,TIMELESS
SARS-CoV-2,NSP12,FH
SARS-CoV-2,NSP13,RNF8
SARS-CoV-2,NSP14,ZNF250
SARS-CoV-2,NSP14,PEG10
SARS-CoV-2,NSP15,MOB4
SARS-CoV-2,NSP15,SPIRE1
SARS-CoV-2,NSP15,CEP170B
SARS-CoV-2,NSP15,DOCK6
SARS-CoV-2,NSP16,NEMF
SARS-CoV-2,NSP16,MUC13
SARS-CoV-2,NSP2,RAP1GDS1
SARS-CoV-2,NSP3,IL31RA
SARS-CoV-2,NSP4,HFE
SARS-CoV-2,NSP4,ENTPD6
SARS-CoV-2,NSP4,TCTN3
SARS-CoV-2,NSP4,ARSE
SARS-CoV-2,NSP4,FSCN1
SARS-CoV-2,NSP4,BMPR1B
SARS-CoV-2,NSP4,HSPA5
SARS-CoV-2,NSP4,HLA-C
SARS-CoV-2,NSP6,GPR89A
SARS-CoV-2,NSP6,ABCB8
SARS-CoV-2,NSP6,UBIAD1
SARS-CoV-2,NSP6,LRP12
SARS-CoV-2,NSP6,RHBDD3
SARS-CoV-2,NSP6,CYB5A
SARS-CoV-2,NSP6,EVA1C
SARS-CoV-2,NSP6,EMC10
SARS-CoV-2,NSP6,SLC39A14
SARS-CoV-2,NSP6,HMGCR
SARS-CoV-2,NSP6,PTDSS2
SARS-CoV-2,NSP6,TTYH3
SARS-CoV-2,NSP6,ADPGK
SARS-CoV-2,NSP6,UPK3B
SARS-CoV-2,NSP6,PIGU
SARS-CoV-2,NSP6,CERS2
SARS-CoV-2,NSP6,COPG2
SARS-CoV-2,NSP6,EMC2
SARS-CoV-2,NSP6,PEX2
SARS-CoV-2,NSP6,EFHD2
SARS-CoV-2,NSP6,MT-ATP6
SARS-CoV-2,NSP6,RAB32
SARS-CoV-2,NSP6,YIPF4
SARS-CoV-2,NSP6,HLA-DMB
SARS-CoV-2,NSP6,LPCAT3
SARS-CoV-2,NSP6,SCAMP4
SARS-CoV-2,NSP6,RMND1
SARS-CoV-2,NSP6,MFSD3
SARS-CoV-2,NSP6,EMC4
SARS-CoV-2,NSP6,EBP
SARS-CoV-2,NSP6,SIGMAR1
SARS-CoV-2,NSP6,GCNT3
SARS-CoV-2,NSP6,TMEM41A
SARS-CoV-2,NSP6,VMP1
SARS-CoV-2,NSP6,COG1
SARS-CoV-2,NSP6,NBR1
SARS-CoV-2,NSP6,COG2
SARS-CoV-2,NSP6,APOB
SARS-CoV-2,NSP6,DOLK
SARS-CoV-2,NSP6,FAM8A1
SARS-CoV-2,NSP6,SLC7A6
SARS-CoV-2,NSP6,BRI3BP
SARS-CoV-2,NSP6,SLC19A2
SARS-CoV-2,NSP6,SLC35F6
SARS-CoV-2,NSP6,WFS1
SARS-CoV-2,NSP6,EMC8
SARS-CoV-2,NSP6,ZW10
SARS-CoV-2,NSP6,EMC3
SARS-CoV-2,NSP6,CANT1
SARS-CoV-2,NSP6,PDLIM1
SARS-CoV-2,NSP6,MSMO1
SARS-CoV-2,NSP6,DHCR24
SARS-CoV-2,NSP6,ATP6AP1
SARS-CoV-2,NSP6,PIGS
SARS-CoV-2,NSP6,SURF4
SARS-CoV-2,NSP6,COTL1
SARS-CoV-2,NSP6,SLC33A1
SARS-CoV-2,NSP6,MT-ND4
SARS-CoV-2,NSP6,MSN
SARS-CoV-2,NSP6,VKORC1L1
SARS-CoV-2,NSP6,CHPT1
SARS-CoV-2,NSP6,COG7
SARS-CoV-2,NSP6,TLCD1
SARS-CoV-2,NSP6,GPAA1
SARS-CoV-2,NSP7,CA12
SARS-CoV-2,NSP7,ROR1
SARS-CoV-2,NSP7,RABGAP1L
SARS-CoV-2,NSP8,ATE1
SARS-CoV-2,NSP8,HERC1
SARS-CoV-2,NSP9,NEK9
SARS-CoV-2,NSP9,GTF2F2
SARS-CoV-2,NSP9,MTHFD1
SARS-CoV-2,NSP9,SETD2
SARS-CoV-2,NSP9,STAT6
SARS-CoV-2,NSP9,TAX1BP1
SARS-CoV-2,ORF3,TRIM47
SARS-CoV-2,ORF3,ADCY6
SARS-CoV-2,ORF3,SLK
SARS-CoV-2,ORF3,ATP8B1
SARS-CoV-2,ORF3,TMUB1
SARS-CoV-2,ORF3,TMEM237
SARS-CoV-2,ORF3,RHEB
SARS-CoV-2,ORF3,ACVR2A
SARS-CoV-2,ORF3,PROCR
SARS-CoV-2,ORF3,TGOLN2
SARS-CoV-2,ORF3,CD99L2
SARS-CoV-2,ORF3,LDLR
SARS-CoV-2,ORF3,NRG1
SARS-CoV-2,ORF3,SLC4A2
SARS-CoV-2,ORF3,SLC4A10
SARS-CoV-2,ORF3,BMPR1A
SARS-CoV-2,ORF3,MPZL1
SARS-CoV-2,ORF3,LSS
SARS-CoV-2,ORF3,CLU
SARS-CoV-2,ORF3,PMEPA1
SARS-CoV-2,ORF3,SHC1
SARS-CoV-2,ORF3,HPCAL1
SARS-CoV-2,ORF3,RNF19A
SARS-CoV-2,ORF3,ATP2B4
SARS-CoV-2,ORF3,GNA13
SARS-CoV-2,ORF3,TNIP1
SARS-CoV-2,ORF3,ACVR1B
SARS-CoV-2,ORF3,ITGA6
SARS-CoV-2,ORF3,DTNB
SARS-CoV-2,ORF3,BMPR2
SARS-CoV-2,ORF3,VPS18
SARS-CoV-2,ORF3,MGLL
SARS-CoV-2,ORF3,ANXA6
SARS-CoV-2,ORF3,GSK3A
SARS-CoV-2,ORF3,HMOX2
SARS-CoV-2,ORF3,SCARB1
SARS-CoV-2,ORF3,SEMA4C
SARS-CoV-2,ORF3,EPHB2
SARS-CoV-2,ORF3,MET
SARS-CoV-2,ORF3,MYOF
SARS-CoV-2,ORF3,NRSN2
SARS-CoV-2,ORF3,UBQLN1
SARS-CoV-2,ORF3,FAM49B
SARS-CoV-2,ORF3,TSKU
SARS-CoV-2,ORF3,DLG1
SARS-CoV-2,ORF3,ADIPOR1
SARS-CoV-2,ORF3,VAMP3
SARS-CoV-2,ORF3,VPS41
SARS-CoV-2,ORF3,LRIG3
SARS-CoV-2,ORF3,SLC4A4
SARS-CoV-2,ORF3,FLRT3
SARS-CoV-2,ORF3,ZDHHC5
SARS-CoV-2,ORF3,TNFRSF10B
SARS-CoV-2,ORF3,DDT
SARS-CoV-2,ORF3,SPINT2
SARS-CoV-2,ORF3,CLIP1
SARS-CoV-2,ORF3,NEO1
SARS-CoV-2,ORF3,FURIN
SARS-CoV-2,ORF3,GOLGB1
SARS-CoV-2,ORF3,LTBR
SARS-CoV-2,ORF3,PVR
SARS-CoV-2,ORF3,KIAA0930
SARS-CoV-2,ORF3,MGRN1
SARS-CoV-2,ORF3,RAB3D
SARS-CoV-2,ORF3,MICA
SARS-CoV-2,ORF3,LMCD1
SARS-CoV-2,ORF3,SNX27
SARS-CoV-2,ORF3,VPS26A
SARS-CoV-2,ORF3,UGCG
SARS-CoV-2,ORF3,NDFIP2
SARS-CoV-2,ORF3,NCOA4
SARS-CoV-2,ORF3,EPHA2
SARS-CoV-2,ORF3,NEDD1
SARS-CoV-2,ORF3,STAM2
SARS-CoV-2,ORF3,DSC3
SARS-CoV-2,ORF3,PPIC
SARS-CoV-2,ORF3,CRIM1
SARS-CoV-2,ORF3,LRP10
SARS-CoV-2,ORF3,GPI
SARS-CoV-2,ORF3,PLP2
SARS-CoV-2,ORF3,ITM2C
SARS-CoV-2,ORF3,ZNRF3
SARS-CoV-2,ORF3,ATP11C
SARS-CoV-2,ORF3,GNAQ
SARS-CoV-2,ORF3,EIF2A
SARS-CoV-2,ORF3,PI4K2A
SARS-CoV-2,ORF3,DLGAP4
SARS-CoV-2,ORF3,NETO2
SARS-CoV-2,ORF3,CD97
SARS-CoV-2,ORF3,MTPN
SARS-CoV-2,ORF3,TBL2
SARS-CoV-2,ORF3,IFNGR1
SARS-CoV-2,ORF3,CSDE1
SARS-CoV-2,ORF3,NAA10
SARS-CoV-2,ORF3,TOM1L1
SARS-CoV-2,ORF3,ANO6
SARS-CoV-2,ORF3,PTPRF
SARS-CoV-2,ORF3,CCDC115
SARS-CoV-2,ORF3,CD38
SARS-CoV-2,ORF3,ZDHHC20
SARS-CoV-2,ORF3,SGCE
SARS-CoV-2,ORF3,EZR
SARS-CoV-2,ORF3,STEAP3
SARS-CoV-2,ORF3,MOSPD2
SARS-CoV-2,ORF3,RAB21
SARS-CoV-2,ORF3,PTPRA
SARS-CoV-2,ORF3,MAPRE1
SARS-CoV-2,ORF3,TNFRSF21
SARS-CoV-2,ORF3,CNDP2
SARS-CoV-2,ORF3,LRRC8D
SARS-CoV-2,ORF3,RAB34
SARS-CoV-2,ORF3,ADAM17
SARS-CoV-2,ORF3,RAB14
SARS-CoV-2,ORF3,AKR1B1
SARS-CoV-2,ORF3,SNAP25
SARS-CoV-2,ORF3,TGFBR2
SARS-CoV-2,ORF3,TGFBR1
SARS-CoV-2,ORF3,PRKCSH
SARS-CoV-2,ORF3,LRFN4
SARS-CoV-2,ORF3,TNFRSF1A
SARS-CoV-2,ORF3,GOLGA7
SARS-CoV-2,ORF3,RELL1
SARS-CoV-2,ORF3,TMEM156
SARS-CoV-2,ORF3,BAG5
SARS-CoV-2,ORF3,KIAA0319
SARS-CoV-2,ORF3,PMM2
SARS-CoV-2,ORF3,UBL3
SARS-CoV-2,ORF3,AXL
SARS-CoV-2,ORF3,SLC12A4
SARS-CoV-2,ORF3,AKR7A2
SARS-CoV-2,ORF3,ITCH
SARS-CoV-2,ORF3,TREX1
SARS-CoV-2,ORF3,LRP8
SARS-CoV-2,ORF3,BCAM
SARS-CoV-2,ORF3,IL6ST
SARS-CoV-2,ORF3,CD99
SARS-CoV-2,ORF3,IL13RA1
SARS-CoV-2,ORF3,HOOK3
SARS-CoV-2,ORF3,OPN3
SARS-CoV-2,ORF3,RNF149
SARS-CoV-2,ORF3,PGM1
SARS-CoV-2,ORF3,ACVR1
SARS-CoV-2,ORF3,NPLOC4
SARS-CoV-2,ORF3,TOR1A
SARS-CoV-2,ORF3,TPBG
SARS-CoV-2,ORF3,AKR1A1
SARS-CoV-2,ORF3,STX10
SARS-CoV-2,ORF3,B2M
SARS-CoV-2,ORF3,PRPS2
SARS-CoV-2,ORF3,ECE1
SARS-CoV-2,ORF3,IGF2R
SARS-CoV-2,ORF3,DTYMK
SARS-CoV-2,ORF3,PPA1
SARS-CoV-2,ORF3,STX4
SARS-CoV-2,ORF3,USP8
SARS-CoV-2,ORF3,NDFIP1
SARS-CoV-2,ORF3,RAB5B
SARS-CoV-2,ORF3,LMAN2
SARS-CoV-2,ORF3,TMEM30B
SARS-CoV-2,ORF3,GAL3ST1
SARS-CoV-2,ORF3,PLXND1
SARS-CoV-2,ORF3,CBR1
SARS-CoV-2,ORF3,CDH17
SARS-CoV-2,ORF3,VPS45
SARS-CoV-2,ORF3,LRRN2
SARS-CoV-2,ORF3,MMP15
SARS-CoV-2,ORF3,PCDHA12
SARS-CoV-2,ORF3,ITM2B
SARS-CoV-2,ORF3,CLCN7
SARS-CoV-2,ORF3,DCBLD2
SARS-CoV-2,ORF3,CNNM3
SARS-CoV-2,ORF3,PHPT1
SARS-CoV-2,ORF3,SNX17
SARS-CoV-2,ORF3,GLO1
SARS-CoV-2,ORF3,RNF130
SARS-CoV-2,ORF3,ZDHHC9
SARS-CoV-2,ORF3,SLC23A2
SARS-CoV-2,ORF3,FXYD2
SARS-CoV-2,ORF3,STEAP2
SARS-CoV-2,ORF3,SLC6A6
SARS-CoV-2,ORF3,HLA-G
SARS-CoV-2,ORF3,UCHL1
SARS-CoV-2,ORF3,BROX
SARS-CoV-2,ORF3,BLVRA
SARS-CoV-2,ORF3,WWP2
SARS-CoV-2,ORF3,FKBP3
SARS-CoV-2,ORF3,STX7
SARS-CoV-2,ORF3,STUB1
SARS-CoV-2,ORF3,SLC30A1
SARS-CoV-2,ORF3,SLC12A6
SARS-CoV-2,ORF3,PTPRJ
SARS-CoV-2,ORF3,TBCB
SARS-CoV-2,ORF3,NAPG
SARS-CoV-2,ORF3,HINT1
SARS-CoV-2,ORF3,BAMBI
SARS-CoV-2,ORF3,VPS11
SARS-CoV-2,ORF3,RAB8A
SARS-CoV-2,ORF3,SLC26A2
SARS-CoV-2,ORF3,RAB5A
SARS-CoV-2,ORF3,AHCYL1
SARS-CoV-2,ORF3,IFITM1
SARS-CoV-2,ORF3,TRAPPC5
SARS-CoV-2,ORF3,EPHB3
SARS-CoV-2,ORF3,RAB1A
SARS-CoV-2,ORF3,SNX2
SARS-CoV-2,ORF3,PCDHA4
SARS-CoV-2,ORF3,MYRF
SARS-CoV-2,ORF3,NOTCH1
SARS-CoV-2,ORF3,SLC20A1
SARS-CoV-2,ORF3,GABARAPL2
SARS-CoV-2,ORF3,SMS
SARS-CoV-2,ORF3,CLDN12
SARS-CoV-2,ORF3,TOR1B
SARS-CoV-2,ORF3,LRRC47
SARS-CoV-2,ORF3,VPS39
SARS-CoV-2,ORF3,TBCE
SARS-CoV-2,ORF3,SRXN1
SARS-CoV-2,ORF3,ACO1
SARS-CoV-2,ORF3,STEAP1B
SARS-CoV-2,ORF3,PTPRM
SARS-CoV-2,ORF3,LRFN1
SARS-CoV-2,ORF3,OSMR
SARS-CoV-2,ORF3,NCEH1
SARS-CoV-2,ORF3,TNFRSF10D
SARS-CoV-2,ORF3,PLXNA1
SARS-CoV-2,ORF3,TNFSF9
SARS-CoV-2,ORF3,LRRC8A
SARS-CoV-2,ORF3,EEA1
SARS-CoV-2,ORF3,SLC12A7
SARS-CoV-2,ORF3,PSAT1
SARS-CoV-2,ORF3,ADAM9
SARS-CoV-2,ORF3,ADCY9
SARS-CoV-2,ORF3,PTPN11
SARS-CoV-2,ORF3,ANXA5
SARS-CoV-2,ORF3,RAB13
SARS-CoV-2,ORF3,IL10RB
SARS-CoV-2,ORF3,SUMF2
SARS-CoV-2,ORF3,CMIP
SARS-CoV-2,ORF3,RHBDF2
SARS-CoV-2,ORF3,VAMP7
SARS-CoV-2,ORF3,RAB31
SARS-CoV-2,ORF3,FKBP1A
SARS-CoV-2,ORF3,NOTCH3
SARS-CoV-2,ORF3,LSR
SARS-CoV-2,ORF3,SEMA4B
SARS-CoV-2,ORF3,CPD
SARS-CoV-2,ORF3,KYNU
SARS-CoV-2,ORF3,HLA-E
SARS-CoV-2,ORF3,EEF1A2
SARS-CoV-2,ORF3,SNX1
SARS-CoV-2,ORF3,HLA-A
SARS-CoV-2,ORF3,NOTCH2
SARS-CoV-2,ORF3,VAMP2
SARS-CoV-2,ORF3,STXBP3
SARS-CoV-2,ORF3,RAB7A
SARS-CoV-2,ORF3,RAB9A
SARS-CoV-2,ORF3,RHOB
SARS-CoV-2,ORF3,LGALS3
SARS-CoV-2,ORF3,IDH1
SARS-CoV-2,ORF3,CAP1
SARS-CoV-2,ORF3,STX6
SARS-CoV-2,ORF3,HSPA13
SARS-CoV-2,ORF3,STX12
SARS-CoV-2,ORF3,LRBA
SARS-CoV-2,ORF3,TNFRSF10A
SARS-CoV-2,ORF3,HMGCS2
SARS-CoV-2,ORF3,GCLC
SARS-CoV-2,ORF3,EPCAM
SARS-CoV-2,ORF3,NDRG1
SARS-CoV-2,ORF3,MRC2
SARS-CoV-2,ORF3,VPS16
SARS-CoV-2,ORF3,RNPEP
SARS-CoV-2,ORF3,WWP1
SARS-CoV-2,ORF3,NAPA
SARS-CoV-2,ORF3,FGFR1
SARS-CoV-2,ORF3,GGT1
SARS-CoV-2,ORF3,CD44
SARS-CoV-2,ORF3,RAB2A
SARS-CoV-2,ORF3,NRP2
SARS-CoV-2,ORF3,PTPRS
SARS-CoV-2,ORF3,SULT1A3
SARS-CoV-2,ORF3,SPAG9
SARS-CoV-2,ORF3,CLCC1
SARS-CoV-2,ORF7a,NF1
SARS-CoV-2,ORF7a,IPO11
SARS-CoV-2,ORF7a,ATM
SARS-CoV-2,ORF7a,NCAPG2
SARS-CoV-2,ORF7a,USP34
SARS-CoV-2,ORF7a,THADA
SARS-CoV-2,ORF7a,AGMAT
SARS-CoV-2,ORF7a,RIF1
SARS-CoV-2,ORF7a,DYNC2H1
SARS-CoV-2,ORF7a,MDN1
SARS-CoV-2,ORF7a,NUP93
SARS-CoV-2,ORF7a,BTAF1
SARS-CoV-2,ORF7a,COG3
SARS-CoV-2,ORF7a,FASTKD1
SARS-CoV-2,ORF7a,PDS5A
SARS-CoV-2,ORF7a,INTS5
SARS-CoV-2,ORF7a,ATP13A1
SARS-CoV-2,ORF7a,TTI1
SARS-CoV-2,ORF7a,ATR
SARS-CoV-2,ORF7a,RNF213
SARS-CoV-2,ORF7a,INTS2
SARS-CoV-2,ORF7a,PFKP
SARS-CoV-2,ORF7a,NUBPL
SARS-CoV-2,ORF7a,INTS8
SARS-CoV-2,ORF7a,DOCK5
SARS-CoV-2,ORF7a,TMEM168
SARS-CoV-2,ORF7a,ELMO2
SARS-CoV-2,ORF7a,XPOT
SARS-CoV-2,ORF7a,NUP188
SARS-CoV-2,ORF7a,TUT1
SARS-CoV-2,ORF7a,FANCD2
SARS-CoV-2,ORF7a,OAT
SARS-CoV-2,ORF7a,NDUFA12
SARS-CoV-2,ORF7a,TBC1D8
SARS-CoV-2,ORF7a,SCAI
SARS-CoV-2,ORF7a,INTS1
SARS-CoV-2,ORF7a,XPO5
SARS-CoV-2,ORF7a,FAM20B
SARS-CoV-2,ORF7a,STK11IP
SARS-CoV-2,ORF7a,RANBP6
SARS-CoV-2,ORF7b,GOLM1
SARS-CoV-2,ORF7b,RFT1
SARS-CoV-2,ORF7b,KLHDC2
SARS-CoV-2,ORF7b,FKBP8
SARS-CoV-2,ORF7b,FAS
SARS-CoV-2,ORF7b,SPNS1
SARS-CoV-2,ORF7b,VAMP4
SARS-CoV-2,ORF7b,B4GALT7
SARS-CoV-2,ORF7b,PGAP2
SARS-CoV-2,ORF7b,STX2
SARS-CoV-2,ORF7b,TVP23C
SARS-CoV-2,ORF7b,SYMPK
SARS-CoV-2,ORF7b,CYBRD1
SARS-CoV-2,ORF7b,LCLAT1
SARS-CoV-2,ORF7b,ABCB10
SARS-CoV-2,ORF7b,CSGALNACT1
SARS-CoV-2,ORF7b,BCAP31
SARS-CoV-2,ORF7b,CTNNA2
SARS-CoV-2,ORF7b,TMED7
SARS-CoV-2,ORF7b,METTL16
SARS-CoV-2,ORF7b,BSCL2
SARS-CoV-2,ORF7b,ERBB2
SARS-CoV-2,ORF7b,MTCH1
SARS-CoV-2,ORF7b,LMAN1
SARS-CoV-2,ORF7b,DAD1
SARS-CoV-2,ORF7b,ENTPD4
SARS-CoV-2,ORF7b,SLC38A2
SARS-CoV-2,ORF7b,ZMPSTE24
SARS-CoV-2,ORF7b,GALNT12
SARS-CoV-2,ORF7b,AGPAT3
SARS-CoV-2,ORF7b,SCAMP1
SARS-CoV-2,ORF7b,SORT1
SARS-CoV-2,ORF7b,SAMD8
SARS-CoV-2,ORF7b,MTX1
SARS-CoV-2,ORF7b,TMEM106C
SARS-CoV-2,ORF7b,BNIP3L
SARS-CoV-2,ORF7b,LAPTM4A
SARS-CoV-2,ORF7b,GPX8
SARS-CoV-2,ORF7b,GALNT10
SARS-CoV-2,ORF7b,CYP4F8
SARS-CoV-2,ORF7b,TUSC3
SARS-CoV-2,ORF7b,VTI1A
SARS-CoV-2,ORF7b,CASC4
SARS-CoV-2,ORF7b,NDC1
SARS-CoV-2,ORF7b,LPAR1
SARS-CoV-2,ORF7b,ALG5
SARS-CoV-2,ORF7b,DHRS7
SARS-CoV-2,ORF7b,PIGO
SARS-CoV-2,ORF7b,VEZT
SARS-CoV-2,ORF7b,UNC93B1
SARS-CoV-2,ORF7b,QSOX1
SARS-CoV-2,ORF7b,CYP2S1
SARS-CoV-2,ORF7b,TM9SF4
SARS-CoV-2,ORF7b,MGST1
SARS-CoV-2,ORF7b,ALG11
SARS-CoV-2,ORF7b,TMEM70
SARS-CoV-2,ORF7b,NDUFB11
SARS-CoV-2,ORF7b,ORAI1
SARS-CoV-2,ORF7b,DEGS1
SARS-CoV-2,ORF7b,S1PR3
SARS-CoV-2,ORF7b,SCAMP2
SARS-CoV-2,ORF7b,TMEM87A
SARS-CoV-2,ORF7b,ELOVL6
SARS-CoV-2,ORF7b,GALNT1
SARS-CoV-2,ORF7b,TRIM59
SARS-CoV-2,ORF7b,PNKD
SARS-CoV-2,ORF7b,MAN1B1
SARS-CoV-2,ORF7b,TMED10
SARS-CoV-2,ORF7b,ACP2
SARS-CoV-2,ORF7b,C1QL1
SARS-CoV-2,ORF7b,PNPLA2
SARS-CoV-2,ORF7b,ELOVL5
SARS-CoV-2,ORF7b,UBE2G2
SARS-CoV-2,ORF7b,TSPAN14
SARS-CoV-2,ORF7b,OPA3
SARS-CoV-2,ORF7b,SGCD
SARS-CoV-2,ORF7b,TMED4
SARS-CoV-2,ORF7b,ZDHHC21
SARS-CoV-2,ORF7b,ZDHHC6
SARS-CoV-2,ORF7b,FKRP
SARS-CoV-2,ORF7b,APOOL
SARS-CoV-2,ORF7b,SLC2A6
SARS-CoV-2,ORF7b,CTNNA1
SARS-CoV-2,ORF7b,STT3A
SARS-CoV-2,ORF7b,SCAMP3
SARS-CoV-2,ORF7b,CELSR2
SARS-CoV-2,ORF7b,GOLGA5
SARS-CoV-2,ORF7b,NIPA1
SARS-CoV-2,ORF7b,CNTNAP3
SARS-CoV-2,ORF7b,DIS3
SARS-CoV-2,ORF7b,POMGNT1
SARS-CoV-2,ORF7b,CTDNEP1
SARS-CoV-2,ORF7b,PTGES
SARS-CoV-2,ORF7b,CYP1B1
SARS-CoV-2,ORF7b,CD70
SARS-CoV-2,ORF7b,FAM20C
SARS-CoV-2,ORF7b,PTPMT1
SARS-CoV-2,ORF7b,TMEM164
SARS-CoV-2,ORF7b,MFSD5
SARS-CoV-2,ORF7b,MFSD10
SARS-CoV-2,ORF7b,SLC30A5
SARS-CoV-2,ORF7b,TMEM68
SARS-CoV-2,ORF7b,SLC35A2
SARS-CoV-2,ORF7b,CACNG6
SARS-CoV-2,ORF7b,LEMD3
SARS-CoV-2,ORF7b,TNFSF15
SARS-CoV-2,ORF7b,SGPP1
SARS-CoV-2,ORF7b,CHST14
SARS-CoV-2,ORF7b,SCAP
SARS-CoV-2,ORF7b,QSOX2
SARS-CoV-2,ORF7b,TMX1
SARS-CoV-2,ORF7b,PLD3
SARS-CoV-2,ORF7b,RHBDD2
SARS-CoV-2,ORF7b,MFSD8
SARS-CoV-2,ORF7b,ZFPL1
SARS-CoV-2,ORF7b,TMED2
SARS-CoV-2,ORF7b,CLDN1
SARS-CoV-2,ORF7b,LMAN2L
SARS-CoV-2,ORF7b,REEP5
SARS-CoV-2,ORF7b,SYNGR3
SARS-CoV-2,ORF7b,SLC47A2
